,country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,NY.GDP.PCAP.KD,NY.GDP.PCAP.PP.KD,adminregion,capitalCity,iso3c,incomeLevel,iso2c,latitude,lendingType,longitude,region,sat,ee_nightlights_sum
16,Albania,2010,2913021.0,4094.35883192,4360.0,9210.0,4094.35883192,9373.83950528,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F18,131099
17,Albania,2009,2927519.0,4114.13654491,4280.0,9190.0,3928.34082757,8993.74919281,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F16,88184
18,Albania,2008,2947314.0,4370.53964653,4050.0,8810.0,3775.47844386,8643.77804714,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,78037
19,Albania,2008,2947314.0,4370.53964653,4050.0,8810.0,3775.47844386,8643.77804714,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F16,105588
20,Albania,2007,2970017.0,3603.01368537,3480.0,7870.0,3484.25411086,7977.0338096,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,65748
21,Albania,2007,2970017.0,3603.01368537,3480.0,7870.0,3484.25411086,7977.0338096,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F16,100040
22,Albania,2006,2992547.0,3005.01290338,3090.0,7270.0,3265.3656217,7475.89904072,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,74160
23,Albania,2006,2992547.0,3005.01290338,3090.0,7270.0,3265.3656217,7475.89904072,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F16,82047
24,Albania,2005,3011487.0,2709.14293056,2670.0,6320.0,3077.67973671,7046.20114771,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,72291
25,Albania,2005,3011487.0,2709.14293056,2670.0,6320.0,3077.67973671,7046.20114771,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F16,82362
26,Albania,2004,3026939.0,2416.58823507,2150.0,5790.0,2896.27787167,6630.89021901,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,67533
27,Albania,2004,3026939.0,2416.58823507,2150.0,5790.0,2896.27787167,6630.89021901,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F16,83100
28,Albania,2003,3039616.0,1890.68155744,1690.0,5320.0,2728.41810134,6246.58327107,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F14,66449
29,Albania,2003,3039616.0,1890.68155744,1690.0,5320.0,2728.41810134,6246.58327107,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,69120
30,Albania,2002,3051010.0,1453.64277661,1410.0,4900.0,2569.85829481,5883.56814724,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F14,62500
31,Albania,2002,3051010.0,1453.64277661,1410.0,4900.0,2569.85829481,5883.56814724,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,94031
32,Albania,2001,3060173.0,1326.97033929,1330.0,4650.0,2458.14998601,5627.81729563,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F14,54507
33,Albania,2001,3060173.0,1326.97033929,1330.0,4650.0,2458.14998601,5627.81729563,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,85713
34,Albania,2000,3089027.0,1175.78898073,1170.0,4160.0,2256.050962,5165.12120742,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F14,54864
35,Albania,2000,3089027.0,1175.78898073,1170.0,4160.0,2256.050962,5165.12120742,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F15,88275
36,Algeria,2012,37439427.0,5583.6161595,5200.0,13300.0,4581.32751724,13209.231761,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F18,2441111
37,Algeria,2011,36717132.0,5447.40397557,4590.0,12900.0,4517.84413982,13026.1916613,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F18,2212271
38,Algeria,2010,36036159.0,4473.48644568,4470.0,12620.0,4473.48644568,12898.2961856,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F18,2571661
39,Algeria,2009,35401790.0,3875.82209542,4280.0,12160.0,4395.41254423,12673.1875779,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F16,1509213
40,Algeria,2008,34811059.0,4912.25194082,4200.0,12090.0,4399.60737714,12685.282439,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1248945
41,Algeria,2008,34811059.0,4912.25194082,4200.0,12090.0,4399.60737714,12685.282439,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F16,1700377
42,Algeria,2007,34261971.0,3939.5599394,3590.0,11700.0,4365.34786215,12586.502801,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1268758
43,Algeria,2007,34261971.0,3939.5599394,3590.0,11700.0,4365.34786215,12586.502801,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F16,1773566
44,Algeria,2006,33749328.0,3467.54474009,3100.0,10910.0,4285.93452055,12357.5322177,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1324291
45,Algeria,2006,33749328.0,3467.54474009,3100.0,10910.0,4285.93452055,12357.5322177,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F16,1569428
46,Algeria,2005,33267887.0,3102.03738423,2710.0,10490.0,4275.279289,12326.8102441,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1235380
47,Algeria,2005,33267887.0,3102.03738423,2710.0,10490.0,4275.279289,12326.8102441,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F16,1283023
48,Algeria,2004,32817225.0,2600.00651973,2240.0,9760.0,4092.53020886,11799.894204,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1183940
49,Algeria,2004,32817225.0,2600.00651973,2240.0,9760.0,4092.53020886,11799.894204,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F16,1435811
50,Algeria,2003,32394886.0,2094.89330213,1920.0,9270.0,3974.96202613,11460.9126823,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F14,1187226
51,Algeria,2003,32394886.0,2094.89330213,1920.0,9270.0,3974.96202613,11460.9126823,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1152613
52,Algeria,2002,31990387.0,1774.2920208,1720.0,8570.0,3754.87220614,10826.3329825,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F14,1101282
53,Algeria,2002,31990387.0,1774.2920208,1720.0,8570.0,3754.87220614,10826.3329825,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1565164
54,Algeria,2001,31590320.0,1732.95851735,1660.0,8170.0,3600.7810247,10382.0455745,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F14,1193191
55,Algeria,2001,31590320.0,1732.95851735,1660.0,8170.0,3600.7810247,10382.0455745,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1465602
56,Algeria,2000,31183658.0,1757.01197444,1590.0,7690.0,3541.49353249,10211.10337,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F14,1210952
57,Algeria,2000,31183658.0,1757.01197444,1590.0,7690.0,3541.49353249,10211.10337,Middle East & North Africa (excluding high income),Algiers,DZA,Upper middle income,DZ,36.7397,IBRD,3.05097,Middle East & North Africa,F15,1595478
58,Angola,2012,22685632.0,5086.84842581,4140.0,6020.0,3972.60095029,6636.03879875,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F18,248197
59,Angola,2011,21942296.0,4744.9876295,3740.0,5920.0,3905.81805279,6524.48118084,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F18,211443
60,Angola,2010,21219954.0,3886.47935433,3570.0,5740.0,3886.47935433,6492.17681528,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F18,229472
61,Angola,2009,20520103.0,3678.94765447,3510.0,5720.0,3886.5886491,6492.35938694,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F16,142424
62,Angola,2008,19842251.0,4242.36306234,3020.0,5270.0,3924.66542794,6555.96481444,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,77467
63,Angola,2008,19842251.0,4242.36306234,3020.0,5270.0,3924.66542794,6555.96481444,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F16,124105
64,Angola,2007,19183907.0,3151.02243105,2360.0,4910.0,3566.55419574,5957.75722679,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,79162
65,Angola,2007,19183907.0,3151.02243105,2360.0,4910.0,3566.55419574,5957.75722679,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F16,104657
66,Angola,2006,18541467.0,2253.83885004,1630.0,3930.0,3010.06539098,5028.16944648,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,74866
67,Angola,2006,18541467.0,2253.83885004,1630.0,3930.0,3010.06539098,5028.16944648,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F16,89073
68,Angola,2005,17912942.0,1576.16280067,1170.0,3290.0,2580.59271847,4310.7560054,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,68358
69,Angola,2005,17912942.0,1576.16280067,1170.0,3290.0,2580.59271847,4310.7560054,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F16,66896
70,Angola,2004,17295500.0,1135.60456355,880.0,2840.0,2260.00845966,3775.23542169,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,60721
71,Angola,2004,17295500.0,1135.60456355,880.0,2840.0,2260.00845966,3775.23542169,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F16,77652
72,Angola,2003,16691395.0,850.07569413,620.0,2600.0,2112.02468254,3528.03564028,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F14,52040
73,Angola,2003,16691395.0,850.07569413,620.0,2600.0,2112.02468254,3528.03564028,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,53815
74,Angola,2002,16109696.0,775.76551846,510.0,2480.0,2079.18202998,3473.17356897,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F14,53729
75,Angola,2002,16109696.0,775.76551846,510.0,2480.0,2079.18202998,3473.17356897,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,69529
76,Angola,2001,15562791.0,574.194161137,430.0,2580.0,2312.76485276,3863.3624387,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F14,54584
77,Angola,2001,15562791.0,574.194161137,430.0,2580.0,2312.76485276,3863.3624387,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,67635
78,Angola,2000,15058638.0,606.272292244,390.0,2480.0,2293.39140168,3831.00002057,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F14,52046
79,Angola,2000,15058638.0,606.272292244,390.0,2480.0,2293.39140168,3831.00002057,Sub-Saharan Africa (excluding high income),Luanda,AGO,Upper middle income,AO,-8.81155,IBRD,13.242,Sub-Saharan Africa ,F15,72213
80,Antigua and Barbuda,2012,89069.0,13525.6162201,12850.0,20070.0,13023.5969435,20577.2921067,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F18,6766
81,Antigua and Barbuda,2011,88152.0,12817.8415733,12370.0,19290.0,12650.5794044,19987.9241389,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F18,7595
82,Antigua and Barbuda,2010,87233.0,13017.3103875,12620.0,19590.0,13017.3103875,20567.359344,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F18,7783
83,Antigua and Barbuda,2009,86300.0,13979.2626926,13420.0,20760.0,14170.2197101,22388.9568647,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F16,6094
84,Antigua and Barbuda,2008,85350.0,15786.1728395,14990.0,23600.0,16288.419986,25735.714754,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,5276
85,Antigua and Barbuda,2008,85350.0,15786.1728395,14990.0,23600.0,16288.419986,25735.714754,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F16,5454
86,Antigua and Barbuda,2007,84397.0,15276.0682647,14750.0,23500.0,16460.6413861,26007.8246843,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,4202
87,Antigua and Barbuda,2007,84397.0,15276.0682647,14750.0,23500.0,16460.6413861,26007.8246843,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F16,5307
88,Antigua and Barbuda,2006,83467.0,13599.9088573,13400.0,21130.0,15200.1903205,24016.3111357,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,4124
89,Antigua and Barbuda,2006,83467.0,13599.9088573,13400.0,21130.0,15200.1903205,24016.3111357,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F16,4617
90,Antigua and Barbuda,2005,82565.0,12079.865695,11920.0,18260.0,13553.3040468,21414.2296934,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,4055
91,Antigua and Barbuda,2005,82565.0,12079.865695,11920.0,18260.0,13553.3040468,21414.2296934,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F16,3849
92,Antigua and Barbuda,2004,81718.0,10993.3692473,10990.0,16710.0,12908.5276467,20395.4825388,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,3920
93,Antigua and Barbuda,2004,81718.0,10993.3692473,10990.0,16710.0,12908.5276467,20395.4825388,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F16,5005
94,Antigua and Barbuda,2003,80904.0,10382.6309005,10140.0,15670.0,12383.747392,19566.3293763,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F14,4428
95,Antigua and Barbuda,2003,80904.0,10382.6309005,10140.0,15670.0,12383.747392,19566.3293763,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,4072
96,Antigua and Barbuda,2002,80030.0,10027.8562206,9290.0,14580.0,11819.9980004,18675.6049508,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F14,4524
97,Antigua and Barbuda,2002,80030.0,10027.8562206,9290.0,14580.0,11819.9980004,18675.6049508,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,5649
98,Antigua and Barbuda,2001,78972.0,9797.96871277,8890.0,14430.0,11638.0271517,18388.0908849,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F14,4193
99,Antigua and Barbuda,2001,78972.0,9797.96871277,8890.0,14430.0,11638.0271517,18388.0908849,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,5242
100,Antigua and Barbuda,2000,77648.0,10094.7590646,8620.0,14440.0,12227.0317118,19318.718494,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F14,3776
101,Antigua and Barbuda,2000,77648.0,10094.7590646,8620.0,14440.0,12227.0317118,19318.718494,,Saint John's,ATG,High income,AG,17.1175,IBRD,-61.8456,Latin America & Caribbean ,F15,5228
102,Armenia,2012,2978339.0,3565.51757493,3760.0,7700.0,3489.72888909,7267.97652826,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F18,139444
103,Armenia,2011,2967984.0,3417.171836,3420.0,7050.0,3266.70168362,6803.48299708,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F18,113165
104,Armenia,2010,2963496.0,3124.78401786,3370.0,6690.0,3124.78401786,6507.91440238,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F18,112128
105,Armenia,2009,2966108.0,2915.58390591,3250.0,6410.0,3054.82611092,6362.21471001,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F16,72415
106,Armenia,2008,2975029.0,3919.97547381,3520.0,7520.0,3547.6592035,7388.6266357,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,71604
107,Armenia,2008,2975029.0,3919.97547381,3520.0,7520.0,3547.6592035,7388.6266357,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F16,95333
108,Armenia,2007,2988117.0,3080.97095944,2710.0,6830.0,3304.13507922,6881.44465235,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,62311
109,Armenia,2007,2988117.0,3080.97095944,2710.0,6830.0,3304.13507922,6881.44465235,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F16,85151
110,Armenia,2006,3002161.0,2126.61866107,1990.0,5790.0,2891.1661786,6021.36400655,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,55602
111,Armenia,2006,3002161.0,2126.61866107,1990.0,5790.0,2891.1661786,6021.36400655,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F16,64186
112,Armenia,2005,3014917.0,1625.40776913,1520.0,4910.0,2543.27256157,5296.81412796,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,53508
113,Armenia,2005,3014917.0,1625.40776913,1520.0,4910.0,2543.27256157,5296.81412796,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F16,60171
114,Armenia,2004,3025982.0,1181.96844542,1160.0,4120.0,2225.40450507,4634.79778023,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,43078
115,Armenia,2004,3025982.0,1181.96844542,1160.0,4120.0,2225.40450507,4634.79778023,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F16,57428
116,Armenia,2003,3036420.0,924.464009818,950.0,3630.0,2007.60186423,4181.1853273,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F14,52352
117,Armenia,2003,3036420.0,924.464009818,950.0,3630.0,2007.60186423,4181.1853273,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,41751
118,Armenia,2002,3047249.0,779.829626132,800.0,3120.0,1754.16828187,3653.36514796,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F14,49845
119,Armenia,2002,3047249.0,779.829626132,800.0,3120.0,1754.16828187,3653.36514796,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,51167
120,Armenia,2001,3060036.0,692.301630889,710.0,2690.0,1543.32999211,3214.25718572,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F14,36372
121,Armenia,2001,3060036.0,692.301630889,710.0,2690.0,1543.32999211,3214.25718572,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,43477
122,Armenia,2000,3076098.0,621.424826319,660.0,2380.0,1401.349472,2918.55768574,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F14,38771
123,Armenia,2000,3076098.0,621.424826319,660.0,2380.0,1401.349472,2918.55768574,Europe & Central Asia (excluding high income),Yerevan,ARM,Lower middle income,AM,40.1596,IBRD,44.509,Europe & Central Asia,F15,50205
124,Australia,2012,22728254.0,67646.103853,59810.0,41300.0,53321.8793381,42540.9691934,,Canberra,AUS,High income,AU,-35.282,Not classified,149.129,East Asia & Pacific,F18,2238638
